"student_id","class","date","attendance","created_on","updated_on"
"1","1","2023-06-19","P","2023-06-19 09:07:19",NULL
"1","1","2023-06-20","P","2023-06-20 08:26:28",NULL
"1","1","2023-06-21","P","2023-06-21 09:21:30",NULL
"1","1","2023-06-22","P","2023-06-22 10:11:22",NULL
"1","1","2023-06-23","P","2023-06-23 08:45:05",NULL
"1","1","2023-07-10","P","2023-07-10 14:09:29",NULL
"1","1","2023-07-12","P","2023-07-12 08:29:36",NULL
"1","1","2023-07-13","P","2023-07-13 08:53:09",NULL
"1","1","2023-07-14","P","2023-07-14 08:36:43",NULL
"1","2A","2023-07-15","P","2023-07-15 09:10:07",NULL
"2","1","2023-06-19","P","2023-06-19 09:07:19",NULL
"2","1","2023-06-20","P","2023-06-20 08:26:28",NULL
"2","1","2023-06-21","P","2023-06-21 09:21:30",NULL
"2","1","2023-06-22","P","2023-06-22 10:11:22",NULL
"2","1","2023-06-23","P","2023-06-23 08:45:05",NULL
"2","1","2023-07-10","P","2023-07-10 14:09:29",NULL
"2","1","2023-07-12","P","2023-07-12 08:29:36",NULL
"2","1","2023-07-13","P","2023-07-13 08:53:09",NULL
"2","1","2023-07-14","P","2023-07-14 08:36:43",NULL
"2","2A","2023-07-15","P","2023-07-15 09:10:07",NULL
"3","1","2023-06-19","P","2023-06-19 09:07:19",NULL
"3","1","2023-06-20","P","2023-06-20 08:26:28",NULL
"3","1","2023-06-21","P","2023-06-21 09:21:30",NULL
"3","1","2023-06-22","P","2023-06-22 10:11:22",NULL
"3","1","2023-06-23","P","2023-06-23 08:45:05",NULL
"3","1","2023-07-10","P","2023-07-10 14:09:29",NULL
"3","1","2023-07-12","P","2023-07-12 08:29:36",NULL
"3","1","2023-07-13","P","2023-07-13 08:53:09",NULL
"3","1","2023-07-14","P","2023-07-14 08:36:43",NULL
"3","2A","2023-07-15","A","2023-07-15 09:10:07",NULL
"5","1","2023-06-19","P","2023-06-19 09:07:19",NULL
"5","1","2023-06-20","P","2023-06-20 08:26:28",NULL
"5","1","2023-06-21","P","2023-06-21 09:21:30",NULL
"5","1","2023-06-22","P","2023-06-22 10:11:22",NULL
"5","1","2023-06-23","P","2023-06-23 08:45:05",NULL
"5","1","2023-07-10","P","2023-07-10 14:09:29",NULL
"5","1","2023-07-12","P","2023-07-12 08:29:36",NULL
"5","1","2023-07-13","P","2023-07-13 08:53:09",NULL
"5","1","2023-07-14","P","2023-07-14 08:36:43",NULL
"5","2A","2023-07-15","P","2023-07-15 09:10:07",NULL
"6","1","2023-06-19","P","2023-06-19 09:07:19",NULL
"6","1","2023-06-20","P","2023-06-20 08:26:28",NULL
"6","1","2023-06-21","P","2023-06-21 09:21:30",NULL
"6","1","2023-06-22","P","2023-06-22 10:11:22",NULL
"6","1","2023-06-23","P","2023-06-23 08:45:05",NULL
"6","1","2023-07-10","A","2023-07-10 14:09:29",NULL
"6","1","2023-07-12","P","2023-07-12 08:29:36",NULL
"6","1","2023-07-13","P","2023-07-13 08:53:09",NULL
"6","1","2023-07-14","P","2023-07-14 08:36:43",NULL
"6","2A","2023-07-15","P","2023-07-15 09:10:07",NULL
"7","1","2023-06-19","P","2023-06-19 09:07:19",NULL
"7","1","2023-06-20","P","2023-06-20 08:26:28",NULL
"7","1","2023-06-21","P","2023-06-21 09:21:30",NULL
"7","1","2023-06-22","P","2023-06-22 10:11:22",NULL
"7","1","2023-06-23","P","2023-06-23 08:45:05",NULL
"7","1","2023-07-10","P","2023-07-10 14:09:29",NULL
"7","1","2023-07-12","P","2023-07-12 08:29:36",NULL
"7","1","2023-07-13","P","2023-07-13 08:53:09",NULL
"7","1","2023-07-14","P","2023-07-14 08:36:43",NULL
"7","2A","2023-07-15","P","2023-07-15 09:10:07",NULL
"8","1","2023-06-19","P","2023-06-19 09:07:19",NULL
"8","1","2023-06-20","P","2023-06-20 08:26:28",NULL
"8","1","2023-06-21","P","2023-06-21 09:21:30",NULL
"8","1","2023-06-22","P","2023-06-22 10:11:22",NULL
"8","1","2023-06-23","P","2023-06-23 08:45:05",NULL
"8","1","2023-07-10","A","2023-07-10 14:09:29",NULL
"8","1","2023-07-12","A","2023-07-12 08:29:36",NULL
"8","1","2023-07-13","P","2023-07-13 08:53:09",NULL
"8","1","2023-07-14","P","2023-07-14 08:36:43",NULL
"8","2A","2023-07-15","P","2023-07-15 09:10:07",NULL
"9","1","2023-06-19","P","2023-06-19 09:07:19",NULL
